rank,id,name,win_rate,total_wins,total_matches,hunter_wins,hunter_matches,hunter_win_rate,bounty_wins,bounty_matches,bounty_win_rate,preferred_role
77,1064,5.c0rp,0.533,8,15,0,0,0.000,8,15,0.533,Bounty
78,7710,Boz,0.531,17,32,0,0,0.000,17,32,0.531,Bounty
79,6655,Zer0 G,0.529,18,34,0,0,0.000,18,34,0.529,Bounty
80,0805,Vaxmen,0.529,9,17,9,17,0.529,0,0,0.000,Hunter
81,3058,PTOLEMY,0.524,22,42,0,0,0.000,22,42,0.524,Bounty
82,5197,Factotum,0.524,11,21,0,0,0.000,11,21,0.524,Bounty
83,8603,junko,0.522,12,23,12,23,0.522,0,0,0.000,Hunter
84,0436,felis stray,0.515,52,101,52,101,0.515,0,0,0.000,Hunter
85,7935,J@ck@l,0.514,71,138,71,138,0.514,0,0,0.000,Hunter
86,6729,bootleg,0.513,20,39,20,39,0.513,0,0,0.000,Hunter
87,0227,IPSE,0.500,7,14,0,0,0.000,7,14,0.500,Bounty
88,1040,scorcho,0.500,12,24,0,0,0.000,12,24,0.500,Bounty
89,4465,Kage,0.500,11,22,11,22,0.500,0,0,0.000,Hunter
90,7282,Hexilase,0.500,8,16,0,0,0.000,8,16,0.500,Bounty
91,0919,Roller Girl,0.500,4,8,0,0,0.000,4,8,0.500,Bounty
92,9150,K.OS,0.500,11,22,11,22,0.500,0,0,0.000,Hunter
93,6270,cipher,0.500,4,8,4,8,0.500,0,0,0.000,Hunter
94,4710,Matt Strider,0.500,3,6,3,6,0.500,0,0,0.000,Hunter
95,4368,17,0.500,4,8,0,0,0.000,4,8,0.500,Bounty
96,8319,Girl-e-pop,0.500,3,6,0,0,0.000,3,6,0.500,Bounty
97,5112,Mouse,0.500,3,6,3,6,0.500,0,0,0.000,Hunter
98,4163,Gremlin,0.500,12,24,0,0,0.000,12,24,0.500,Bounty
99,3217,Ch1ck3n,0.500,12,24,0,0,0.000,12,24,0.500,Bounty
100,6700,Team Rocket,0.500,14,28,14,28,0.500,0,0,0.000,Hunter
101,3002,dot,0.500,4,8,0,0,0.000,4,8,0.500,Bounty
102,8660,Ickarus,0.500,3,6,0,0,0.000,3,6,0.500,Bounty
103,1206,revelator,0.492,29,59,0,0,0.000,29,59,0.492,Bounty
104,7221,Nexus,0.485,33,68,0,0,0.000,33,68,0.485,Bounty
105,5276,Rocky Pasadena,0.484,15,31,0,0,0.000,15,31,0.484,Bounty
106,3895,spaceBoats,0.478,11,23,0,0,0.000,11,23,0.478,Bounty
107,6144,Sprinkles (Mander3 the Firewall),0.478,11,23,0,0,0.000,11,23,0.478,Bounty
108,3243,Fireshift,0.478,11,23,11,23,0.478,0,0,0.000,Hunter
109,9637,The Herold Of The Cult Of The Space Pineapple God,0.469,92,196,0,0,0.000,92,196,0.469,Bounty
110,9514,Kilo Cordite,0.462,12,26,0,0,0.000,12,26,0.462,Bounty
111,6535,O-SYRIS,0.462,12,26,12,26,0.462,0,0,0.000,Hunter
112,4842,s3rv0-ai,0.455,5,11,0,0,0.000,5,11,0.455,Bounty
113,1935,nusol,0.455,5,11,0,0,0.000,5,11,0.455,Bounty
114,7249,pinkiebot,0.455,15,33,0,0,0.000,15,33,0.455,Bounty
115,1639,Mr. Fahrenheit,0.455,5,11,0,0,0.000,5,11,0.455,Bounty
116,8992,TPK,0.455,15,33,0,0,0.000,15,33,0.455,Bounty
117,2404,strelly,0.455,5,11,5,11,0.455,0,0,0.000,Hunter
118,7914,Jehcee,0.450,27,60,27,60,0.450,0,0,0.000,Hunter
119,4873,zaika,0.450,9,20,0,0,0.000,9,20,0.450,Bounty
120,7913,eight,0.443,27,61,0,0,0.000,27,61,0.443,Bounty
121,3153,seven,0.440,44,100,0,0,0.000,44,100,0.440,Bounty
122,9303,jackel,0.435,10,23,0,0,0.000,10,23,0.435,Bounty
123,7571,Alterawar,0.429,12,28,12,28,0.429,0,0,0.000,Hunter
124,1984,Tempest,0.429,3,7,0,0,0.000,3,7,0.429,Bounty
125,9122,space waste,0.429,9,21,0,0,0.000,9,21,0.429,Bounty
126,7509,Unknown (ID: 7509),0.429,3,7,3,7,0.429,0,0,0.000,Hunter
127,4145,Kurona,0.429,3,7,3,7,0.429,0,0,0.000,Hunter
128,4645,Iona,0.429,3,7,0,0,0.000,3,7,0.429,Bounty
129,4871,Holden,0.429,3,7,0,0,0.000,3,7,0.429,Bounty
130,8079,Dr Hacky,0.419,13,31,0,0,0.000,13,31,0.419,Bounty
131,7615,Tr@$h,0.415,54,130,0,0,0.000,54,130,0.415,Bounty
132,0799,p1xel,0.400,2,5,0,0,0.000,2,5,0.400,Bounty
133,4251,tempest,0.400,4,10,0,0,0.000,4,10,0.400,Bounty
134,8989,primo,0.400,2,5,0,0,0.000,2,5,0.400,Bounty
135,4964,Mushi,0.400,4,10,0,0,0.000,4,10,0.400,Bounty
136,8877,Slice,0.400,2,5,2,5,0.400,0,0,0.000,Hunter
137,6222,MechGoosa,0.400,2,5,0,0,0.000,2,5,0.400,Bounty
138,7266,OV,0.400,4,10,0,0,0.000,4,10,0.400,Bounty
139,0645,K6,0.400,4,10,0,0,0.000,4,10,0.400,Bounty
140,6167,hugbot,0.396,19,48,0,0,0.000,19,48,0.396,Bounty
141,9185,recursion,0.389,7,18,0,0,0.000,7,18,0.389,Bounty
142,0679,K33f,0.389,7,18,7,18,0.389,0,0,0.000,Hunter
143,6159,Relay,0.387,12,31,0,0,0.000,12,31,0.387,Bounty
144,1188,Bluejay,0.385,5,13,0,0,0.000,5,13,0.385,Bounty
145,1839,technicolor,0.381,8,21,0,0,0.000,8,21,0.381,Bounty
146,9022,Bebe,0.375,3,8,0,0,0.000,3,8,0.375,Bounty
147,3345,Meat Sweats,0.375,3,8,0,0,0.000,3,8,0.375,Bounty
148,9736,GAB,0.375,3,8,0,0,0.000,3,8,0.375,Bounty
149,5745,Tjl2080,0.375,3,8,3,8,0.375,0,0,0.000,Hunter
150,1173,sqwak,0.375,6,16,0,0,0.000,6,16,0.375,Bounty
151,9579,RED,0.370,10,27,10,27,0.370,0,0,0.000,Hunter
152,9999,Unknown (ID: 9999),0.368,7,19,0,0,0.000,7,19,0.368,Bounty
153,2642,Loki,0.368,7,19,0,0,0.000,7,19,0.368,Bounty
154,8465,Phreaker,0.368,7,19,0,0,0.000,7,19,0.368,Bounty
155,9428,zeitgeist,0.365,19,52,19,52,0.365,0,0,0.000,Hunter
156,4514,chrome 0n1,0.364,12,33,0,0,0.000,12,33,0.364,Bounty
157,6595,snatch goblin,0.357,5,14,0,0,0.000,5,14,0.357,Bounty
158,3960,ember,0.357,5,14,0,0,0.000,5,14,0.357,Bounty
159,2110,mad p1xi,0.333,2,6,0,0,0.000,2,6,0.333,Bounty
160,4620,g1dg3t,0.333,9,27,0,0,0.000,9,27,0.333,Bounty
161,4304,phoenix,0.333,6,18,0,0,0.000,6,18,0.333,Bounty
162,1800,Pigeon,0.333,10,30,0,0,0.000,10,30,0.333,Bounty
163,9179,Orbit,0.333,10,30,0,0,0.000,10,30,0.333,Bounty
164,6955,Juniper,0.333,4,12,0,0,0.000,4,12,0.333,Bounty
165,1631,TeaBot,0.333,2,6,2,6,0.333,0,0,0.000,Hunter
166,1034,testtube,0.333,3,9,3,9,0.333,0,0,0.000,Hunter
167,0438,3grr,0.333,2,6,0,0,0.000,2,6,0.333,Bounty
168,6425,Jackpot,0.333,6,18,6,18,0.333,0,0,0.000,Hunter
169,0291,EM1,0.322,19,59,19,59,0.322,0,0,0.000,Hunter
170,7477,CC,0.320,8,25,0,0,0.000,8,25,0.320,Bounty
171,6552,Neurosurge,0.318,7,22,0,0,0.000,7,22,0.318,Bounty
172,3222,Tr0ubl3,0.316,6,19,0,0,0.000,6,19,0.316,Bounty
173,0295,Lev,0.312,5,16,5,16,0.312,0,0,0.000,Hunter
174,6409,Quasar,0.308,4,13,4,13,0.308,0,0,0.000,Hunter
175,9608,Sage,0.308,4,13,4,13,0.308,0,0,0.000,Hunter
176,3682,SB-M3,0.300,6,20,6,20,0.300,0,0,0.000,Hunter
177,2864,Sypher,0.300,3,10,3,10,0.300,0,0,0.000,Hunter
178,1533,capt asshole,0.292,7,24,0,0,0.000,7,24,0.292,Bounty
179,4941,ripper,0.286,2,7,0,0,0.000,2,7,0.286,Bounty
180,4063,Blorbo,0.286,26,91,0,0,0.000,26,91,0.286,Bounty
181,0431,ceph,0.286,6,21,0,0,0.000,6,21,0.286,Bounty
182,7383,erebus,0.286,4,14,4,14,0.286,0,0,0.000,Hunter
183,5295,JAX,0.286,2,7,2,7,0.286,0,0,0.000,Hunter
184,4617,Vex,0.278,5,18,0,0,0.000,5,18,0.278,Bounty
185,3594,whokilledkenny,0.273,15,55,0,0,0.000,15,55,0.273,Bounty
186,7679,S. Circuit,0.267,8,30,8,30,0.267,0,0,0.000,Hunter
187,2522,21,0.267,4,15,4,15,0.267,0,0,0.000,Hunter
188,6530,Rusty,0.250,2,8,2,8,0.250,0,0,0.000,Hunter
189,6785,Bank,0.250,4,16,4,16,0.250,0,0,0.000,Hunter
190,3559,jackie,0.250,4,16,0,0,0.000,4,16,0.250,Bounty
191,3805,tirefire,0.250,2,8,0,0,0.000,2,8,0.250,Bounty
192,8301,shifter,0.250,3,12,3,12,0.250,0,0,0.000,Hunter
193,3994,Jen,0.250,3,12,3,12,0.250,0,0,0.000,Hunter
194,9682,EpicPhoenix,0.250,2,8,2,8,0.250,0,0,0.000,Hunter
195,1490,J dubbs,0.243,9,37,9,37,0.243,0,0,0.000,Hunter
196,7194,charmer,0.227,5,22,0,0,0.000,5,22,0.227,Bounty
197,2594,Notch,0.222,2,9,0,0,0.000,2,9,0.222,Bounty
198,3616,Belle,0.222,2,9,0,0,0.000,2,9,0.222,Bounty
199,7227,KatGPT,0.217,5,23,0,0,0.000,5,23,0.217,Bounty
200,0312,Hummingbird,0.214,9,42,9,42,0.214,0,0,0.000,Hunter
201,9367,romancer,0.214,3,14,0,0,0.000,3,14,0.214,Bounty
202,1714,Mr. Halloran,0.208,5,24,0,0,0.000,5,24,0.208,Bounty
203,5846,F3RR37,0.205,8,39,8,39,0.205,0,0,0.000,Hunter
204,1063,Unknown (ID: 1063),0.200,2,10,0,0,0.000,2,10,0.200,Bounty
205,1300,Unknown (ID: 1300),0.200,1,5,1,5,0.200,0,0,0.000,Hunter
206,6978,Joy,0.200,2,10,0,0,0.000,2,10,0.200,Bounty
207,9745,Bo-Can-Do,0.200,1,5,1,5,0.200,0,0,0.000,Hunter
208,7980,sledgehog,0.200,1,5,0,0,0.000,1,5,0.200,Bounty
209,8299,Jolene,0.200,2,10,2,10,0.200,0,0,0.000,Hunter
210,9890,malcolm in the middle,0.196,10,51,0,0,0.000,10,51,0.196,Bounty
211,8527,mr. red,0.167,1,6,0,0,0.000,1,6,0.167,Bounty
212,9544,trinitron,0.167,1,6,0,0,0.000,1,6,0.167,Bounty
213,1844,Bunny,0.167,1,6,0,0,0.000,1,6,0.167,Bounty
214,9802,Format,0.167,1,6,1,6,0.167,0,0,0.000,Hunter
215,1846,M1m1,0.167,1,6,0,0,0.000,1,6,0.167,Bounty
216,9471,Stray,0.167,1,6,0,0,0.000,1,6,0.167,Bounty
217,2022,Rue,0.167,1,6,1,6,0.167,0,0,0.000,Hunter
218,9650,Curiosity,0.167,2,12,0,0,0.000,2,12,0.167,Bounty
219,3443,sawdust,0.160,4,25,0,0,0.000,4,25,0.160,Bounty
220,7165,bon tron,0.150,3,20,0,0,0.000,3,20,0.150,Bounty
221,0118,Cyrano,0.126,11,87,0,0,0.000,11,87,0.126,Bounty
222,3772,nat20,0.125,1,8,1,8,0.125,0,0,0.000,Hunter
223,8548,nos3bl33d,0.125,1,8,0,0,0.000,1,8,0.125,Bounty
224,8225,arev,0.111,2,18,0,0,0.000,2,18,0.111,Bounty
225,4186,Astro,0.111,1,9,1,9,0.111,0,0,0.000,Hunter
226,7207,Syd,0.100,1,10,0,0,0.000,1,10,0.100,Bounty
227,9009,smokebug,0.100,1,10,0,0,0.000,1,10,0.100,Bounty
228,0550,witchbait,0.083,1,12,0,0,0.000,1,12,0.083,Bounty
229,0422,Teek,0.077,4,52,4,52,0.077,0,0,0.000,Hunter
230,4914,The Rooster,0.062,1,16,0,0,0.000,1,16,0.062,Bounty
231,9254,Ky,0.000,0,7,0,0,0.000,0,7,0.000,Bounty
232,2986,Chain Fire,0.000,0,6,0,6,0.000,0,0,0.000,Hunter
233,0471,Seven,0.000,0,5,0,0,0.000,0,5,0.000,Bounty
234,9524,Sacrifice,0.000,0,10,0,0,0.000,0,10,0.000,Bounty
235,1008,sudo,0.000,0,5,0,0,0.000,0,5,0.000,Bounty
236,2504,Lovi,0.000,0,8,0,0,0.000,0,8,0.000,Bounty
237,9347,blastercock,0.000,0,11,0,11,0.000,0,0,0.000,Hunter
238,9476,W3n1,0.000,0,9,0,0,0.000,0,9,0.000,Bounty
